,Date,UCI,Brent,Gold,Wheat,Cotton
0,2021-01-04,645.91,50.37,1943.2,6.42,78.25
1,2021-01-05,649.79,53.16,1940.35,6.54,78.970001
2,2021-01-06,648.31,53.8,1931.95,6.475,80.410004
3,2021-01-07,650.22,53.7,1920.1,6.4225,79.989998
4,2021-01-08,654.18,55.51,1862.9,6.3875,79.760002
5,2021-01-11,641.42,54.84,1847.25,6.3475,80.0
6,2021-01-12,640.92,55.98,1841.25,6.65,80.449997
7,2021-01-13,639.87,55.52,1858.85,6.605,81.699997
8,2021-01-14,640.35,55.76,1841.75,6.7,80.919998
9,2021-01-15,643.5,54.8,1839.0,6.755,81.120003
10,2021-01-18,645.48,54.21,1833.05,6.7225,80.879997
11,2021-01-19,649.11,55.38,1834.7,6.7225,80.879997
12,2021-01-20,652.41,55.66,1856.6,6.6775,81.0
13,2021-01-21,652.0,55.68,1862.1,6.6075,81.589996
14,2021-01-22,651.73,55.22,1852.7,6.345,82.519997
15,2021-01-25,657.56,55.44,1856.85,6.485,81.559998
16,2021-01-26,650.91,55.26,1856.6,6.6525,82.300003
17,2021-01-27,668.75,55.07,1843.0,6.5825,81.720001
18,2021-01-28,668.41,54.87,1853.7,6.47,80.849998
19,2021-01-29,686.6,55.25,1863.8,6.63,79.980003
20,2021-02-01,690.13,56.42,1862.95,6.51,80.68
21,2021-02-02,697.31,57.62,1833.1,6.4475,80.239998
22,2021-02-03,708.43,58.61,1835.45,6.4825,80.690002
23,2021-02-04,721.89,58.98,1785.9,6.375,81.0
24,2021-02-05,714.89,59.48,1802.95,6.4125,84.25
25,2021-02-08,722.1,60.17,1835.25,6.5575,83.0
26,2021-02-09,739.16,60.74,1839.6,6.495,84.400002
27,2021-02-10,762.75,61.17,1842.65,6.355,86.5
28,2021-02-11,782.9,61.09,1840.1,6.335,84.5
29,2021-02-12,813.72,62.47,1816.35,6.3675,86.160004
30,2021-02-15,841.95,63.58,1817.3,6.575,87.300003
31,2021-02-16,875.06,63.96,1794.25,6.575,87.300003
32,2021-02-17,927.83,65.02,1780.7,6.44,88.010002
33,2021-02-18,979.33,64.09,1773.15,6.625,88.360001
